id,status,application_stage,job_id
1005108,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_REFERRED,1000061
1007894,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000086
1018423,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000163
1004832,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_INTERVIEWING,999
1015900,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000107
1007943,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000079
1018648,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SHORTLISTED,1000169
1007955,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_INTERVIEWING,1000091
1005722,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_HIRED,1000041
1007963,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000091
1015114,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000107
1016722,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000107
1015850,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_STARTED,1000159
1015961,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000147
1018665,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_CONTACTED,1000169
1017336,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_INTERVIEWING,1000167
1017369,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_SCREENING,1000157
1017402,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_INTERVIEWING,1000167
1016848,ADMIN_APPLICATION_STATUS_PAUSED,NEXT_APPLICATION_STAGE_SHORTLISTED,1000151
1016953,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SCREENING,1000140
1018716,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_CONTACTED,1000167
1017437,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_INTERVIEWING,1000167
1018764,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_CONTACTED,1000021
1018715,ADMIN_APPLICATION_STATUS_ACTIVE,NEXT_APPLICATION_STAGE_SCREENING,1000167
1016003,ADMIN_APPLICATION_STATUS_CLOSED,NEXT_APPLICATION_STAGE_SHORTLISTED,1000161
