,application_id,candidate_titles,cos_sim_score,filtered_candidate_briefs,percentiles,candidate_country,id,status,application_stage,job_id
0,1018380,['data analyst'],0.096699967980384,"{'data': {'extra': None, 'state': 'Lagos State', 'country': 'NG'}, 'most_recent_title': 'Sales Executive'}",REJECT_BOTTOM_20,NG,1018380,CLOSED,CONTACTED,1000163.0
1,1018371,"['warehouse operations controller', 'export coordinator', 'supply chain and logistics specialist', 'logistics , inventory and materials lead']",0.39698240160942,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Intern and Project Assistant - Aphia Plus'}",ACCEPT_70_TO_100,US,1018371,ACTIVE,SCREENING,1000163.0
2,1018392,['Logistics Manager'],0.340660393238067,"{'data': {'extra': None, 'state': None, 'country': 'ZA'}, 'most_recent_title': 'Financial Accountant'}",ACCEPT_70_TO_100,ZA,1018392,CLOSED,CONTACTED,1000163.0
3,1018415,"['Warehouse Officer', 'Exports Bonds Officer', 'Customer Relations Executive', 'Customer Service Executive', 'Customer Service/ Implant at Cummins Car', 'Head of Logistics', 'Branch Manager']",0.202282458543777,"{'data': {'extra': None, 'state': None, 'country': 'SN'}, 'most_recent_title': ' Tony Elumelu Entrepreneurship Progamm Winner'}",REJECT_50_TO_70,SN,1018415,CLOSED,SCREENING,1000163.0
4,1018364,['Senior Operations Executive'],0.14908030629158,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Client Relations Specialist'}",REJECT_20_TO_50,ZA,1018364,CLOSED,SCREENING,1000163.0
5,1018401,"['C&F OFFICER', 'Senior C&F Supervisor', 'Operations Management ; Nairobi', 'Operations Manager']",0.13725072145462,"{'data': {'extra': None, 'state': 'Lagos State', 'country': 'NG'}, 'most_recent_title': 'HR Intern'}",REJECT_20_TO_50,NG,1018401,CLOSED,CONTACTED,1000163.0
6,1018391,"['Supply Chain Associate', 'Procurement and Administration Manager']",0.355023801326751,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Business Consultant'}",ACCEPT_70_TO_100,US,1018391,CLOSED,CONTACTED,1000165.0
7,1018386,['It Specialist'],0.095986142754554,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Accounts Assistant'}",REJECT_BOTTOM_20,KE,1018386,CLOSED,CONTACTED,1000163.0
8,1018403,"['Sales Representative', 'Marketing Executive', 'Operations Manager', 'Technical Assistant to Chairman']",0.306675910949707,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Management Trainee Program'}",REJECT_BOTTOM_20,KE,1018403,CLOSED,CONTACTED,1000131.0
9,1018482,"['Freelance Journalist', 'English Presenter and Host', 'Freelance brand designer & consultant', 'Marketing Coordinator', 'UX/UI Graphic Design', 'Junior Graphic Designer', 'Community Manager & Social Media Strategist', 'Social Media Marketing Manager (and interim head of digital & social media)', 'MA candidate in Brand design & management (in Food, Wine, & Tourism)', 'Brand Communications Designer', 'Creative Director', 'Freelance Brand Design Strategist & UI/UX Designer', 'Chief Marketing Officer', 'Head Of Marketing']",0.191433250904083,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Technical Support - E-learning Department'}",REJECT_20_TO_50,KE,1018482,CLOSED,CONTACTED,1000107.0
10,1018790,"['Marketing Executive', 'Regional Sales Manager', 'Regional Sales Manager']",0.31922909617424,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'PROGRAMMES MANAGER'}",REJECT_50_TO_70,KE,1018790,CLOSED,CONTACTED,1000043.0
11,1020826,['Intern'],0.219976633787155,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Regional Human Resources Officer'}",ACCEPT_70_TO_100,KE,1020826,CLOSED,SCREENING,1000182.0
12,1018396,"['project administrator -procurement', 'senior buyer', 'buyer', 'import and export and warehousing manager', 'project administrator - commercial and logistics', 'supply chain manager']",0.190997570753097,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Senior Budgeting and Reporting Officer'}",REJECT_50_TO_70,US,1018396,CLOSED,CONTACTED,1000163.0
13,1010199,"['Reporting Administrator', 'Reporting Analyst', 'Junior Finance Manager', 'Assistant Manager Finance']",0.434582412242889,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Client Services Manager'}",ACCEPT_70_TO_100,NG,1010199,PAUSED,SHORTLISTED,1000103.0
14,44329,"['Administrative Assistant', 'Volunteer Clerk', 'Customer Service Representative', 'Client Advisor', 'Accounts Receivable Assistant', 'Business Development Manager']",0.196752071380615,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Accountant'}",REJECT_BOTTOM_20,KE,44329,SUCCESS,PROBATION_PASSED,962.0
